config,engine,model,architecture,active_params,precision,hardware,gpus,rps,request_throughput,tps_output,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,tpot_p50_ms,tpot_p90_ms,gpu_util_pct,gpu_power_w,gpu_cost_hr,c_eff_per_mtok,c_naive_per_mtok,underutil_penalty
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,100,24.28571882256359,6217.144018576279,2538.68240847591,2561.0106849999283,4492.0542558993475,5010.8574067599875,17925.223865999214,19332.44471389862,19557.05256436988,60.21258933137241,73.8485753482368,53.03030303030303,261.6906060606061,6.98,0.3118616655968817,0.3108392981653224,1.0032890546259552
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,10,9.62673917929887,2464.4452299005106,52.797797961964534,49.35631349962932,66.50335350095703,84.49040609015356,2662.24203100046,2980.0782727003025,3231.754626320144,10.231134086276215,11.510426909803307,80.3203125,337.52335937500004,6.98,0.7867445644012796,0.3108392981653224,2.531033138489597
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,1,0.9966661442128109,255.14653291847958,37.749553934007054,37.936572000035085,41.38396700154772,54.327825229383954,1711.0275599998204,1770.497210600115,1832.812251169853,6.562610429411471,6.7915540435291515,78.1785009861933,279.4555719921105,6.98,7.599119089375878,0.3108392981653224,24.44709898081878
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,200,24.36559587840159,6237.592544870807,3775.7169150500267,3747.867469499397,6824.177918600618,7436.931473260429,19049.61314100001,19666.813247901155,19712.988664419663,59.803957749018615,73.4793859266624,54.36363636363637,264.82560606060616,6.98,0.3108392981653224,0.3108392981653224,1.0
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,25,20.566758717887023,5265.090231779078,122.09472808003193,113.49224200057506,193.42629520015183,259.014732210671,7126.750633500706,9348.252734000016,9732.035982620037,27.52819694705977,36.262886536473985,62.108108108108105,289.2548648648649,6.98,0.36825368674332043,0.3108392981653224,1.1847076251840645
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,50,23.922708674021077,6124.213420549396,466.79160422004134,417.91166700022586,785.3761809998106,994.8423808301231,15475.523430000067,18075.197928900525,18307.51788636062,59.45783937058877,70.14461359176423,54.015151515151516,263.1340909090909,6.98,0.3165939453355878,0.3108392981653224,1.0185132549334375
C1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,H100,1,5,4.910235258884005,1257.0202262743053,61.443954740050685,44.05545300051017,56.7654278007467,713.2500740502107,2160.124110499055,2323.335656499148,4230.308641461543,8.285712015683256,8.927593158821088,89.67256637168141,359.3603982300885,6.98,1.5424484414507642,0.3108392981653224,4.962205392158621
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,H100,1,100,31.642875992395467,8100.57625405324,1131.7933025840211,1143.5798714992416,1952.6682946006986,2188.1592144692877,13178.758566999932,14578.816349499539,14689.332938189782,47.1294211941188,56.31616752941245,53.333333333333336,259.27722222222224,6.98,0.23935197053650817,0.23775268829139232,1.006726663141473
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,H100,1,10,9.737871809153928,2492.8951831434056,40.778101952037105,39.406966500791896,49.935702899165335,59.01219729044897,2015.690097499828,2156.502266800635,2338.698619560855,7.739387833338268,8.29353037411327,81.91935483870968,314.3216935483871,6.98,0.7777659092926864,0.23775268829139232,3.271323301881861
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,H100,1,1,0.9975927528660343,255.3837447337048,29.265342619975854,31.056413499754854,33.41410890043335,40.31661068005632,1234.875436499351,1274.2914319996999,1309.8182154704227,4.729541976470785,4.871202427448046,71.85068762278978,220.84269155206286,6.98,7.592060688555642,0.23775268829139232,31.932596611697313
